Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QD,Crops processed,3,Albania,5510,Production,564,Wine,1961,1961,tonnes,3560,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1962,1962,tonnes,4570,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1963,1963,tonnes,2291,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1964,1964,tonnes,3069,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1965,1965,tonnes,4016,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1966,1966,tonnes,4767,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1967,1967,tonnes,6174,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1968,1968,tonnes,7190,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1969,1969,tonnes,10120,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1970,1970,tonnes,11300,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1971,1971,tonnes,9000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1972,1972,tonnes,13000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1973,1973,tonnes,12000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1974,1974,tonnes,15000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1975,1975,tonnes,13000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1976,1976,tonnes,13500,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1977,1977,tonnes,15000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1978,1978,tonnes,18000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1979,1979,tonnes,17000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1980,1980,tonnes,21000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1981,1981,tonnes,22900,*,Unofficial figure
QD,Crops processed,3,Albania,5510,Production,564,Wine,1982,1982,tonnes,21000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1983,1983,tonnes,23500,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1984,1984,tonnes,23000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1985,1985,tonnes,22700,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1986,1986,tonnes,19000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1987,1987,tonnes,22000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,1988,1988,tonnes,25300,*,Unofficial figure
QD,Crops processed,3,Albania,5510,Production,564,Wine,1989,1989,tonnes,25600,*,Unofficial figure
QD,Crops processed,3,Albania,5510,Production,564,Wine,1990,1990,tonnes,35000,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1991,1991,tonnes,11200,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1992,1992,tonnes,11800,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1993,1993,tonnes,8906,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1994,1994,tonnes,9640,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1995,1995,tonnes,16922,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1996,1996,tonnes,29285,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1997,1997,tonnes,16777,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1998,1998,tonnes,10503,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,1999,1999,tonnes,12708,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2000,2000,tonnes,7413,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2001,2001,tonnes,14228,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2002,2002,tonnes,6625,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2003,2003,tonnes,9164,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2004,2004,tonnes,14024,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2005,2005,tonnes,17144,,Official data
QD,Crops processed,3,Albania,5510,Production,564,Wine,2006,2006,tonnes,17000,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,2007,2007,tonnes,17830,Im,FAO data based on imputation methodology
QD,Crops processed,3,Albania,5510,Production,564,Wine,2008,2008,tonnes,16120,Im,FAO data based on imputation methodology
QD,Crops processed,3,Albania,5510,Production,564,Wine,2009,2009,tonnes,17500,F,FAO estimate
QD,Crops processed,3,Albania,5510,Production,564,Wine,2010,2010,tonnes,30000,F,FAO estimate
